X,Y,Ref_No,Lake,X_IG,Y_IG,X_ITM,Y_ITM,Lat,Long,Responsible_Department,Data_Source,Last_Updated_Date,ObjectId
-749460.69815553,7193656.47925886,MN 001,Gas Lake - Lough Muckno,282858.81,320175.04,682792.26,820182.93,54.1239,-6.73252,Water Safety Development Officer,Monaghan County Council,2025/01/09,1
-749499.659977308,7193751.45675547,MN 002,Gas Lake - Lough Muckno,282835,320228,682768.46,820235.87,54.1244,-6.73287,Water Safety Development Officer,Monaghan County Council,2025/01/09,2
-786593.540699442,7220638.15319923,MN 003,Holywood Lake,260844.33,335624.1,660782.62,835628.8,54.2657,-7.06609,Water Safety Development Officer,Monaghan County Council,2025/01/09,3
-786581.295555455,7220600.03195778,MN 004,Holywood Lake,260851.64,335599.86,660789.92,835604.56,54.2655,-7.06598,Water Safety Development Officer,Monaghan County Council,2025/01/09,4
-786562.37124202,7220561.91090128,MN 005,Holywood Lake,260863,335569.99,660801.28,835574.7,54.2653,-7.06581,Water Safety Development Officer,Monaghan County Council,2025/01/09,5
-775876.813320774,7216541.17800306,MN 006,Ulster Canal,267151,333319,667087.91,833324.15,54.2442,-6.96982,Water Safety Development Officer,Monaghan County Council,2025/01/09,6
-775734.324372559,7216636.4322422,MN 007,Ulster Canal,267234,333371,667170.9,833376.14,54.2447,-6.96854,Water Safety Development Officer,Monaghan County Council,2025/01/09,7
-775605.193763238,7216731.6876358,MN 008,Ulster Canal,267308.57,333428.38,667245.46,833433.51,54.2452,-6.96738,Water Safety Development Officer,Monaghan County Council,2025/01/09,8
-775911.32236292,7217589.03813474,MN 009,Peter's Lake,267122,333925,667058.93,833930.02,54.2497,-6.97013,Water Safety Development Officer,Monaghan County Council,2025/01/09,9
-775793.323702679,7217589.03813474,MN 010,Peter's Lake,267190.93,333927.53,667127.85,833932.55,54.2497,-6.96907,Water Safety Development Officer,Monaghan County Council,2025/01/09,10
-775704.268110045,7217722.4121743,MN 011,Peter's Lake,267242.32,334007.97,667179.23,834012.97,54.2504,-6.96827,Water Safety Development Officer,Monaghan County Council,2025/01/09,11
-775810.021626298,7217722.4121743,MN 012,Peter's Lake,267180,334005,667116.92,834010,54.2504,-6.96922,Water Safety Development Officer,Monaghan County Council,2025/01/09,12
-802918.544024276,7208562.97112388,MN 013,Gortnawinny Lough,251369,328442.99,651309.25,828449.29,54.2023,-7.21274,Water Safety Development Officer,Monaghan County Council,2025/01/09,13
-802900.732905749,7208620.06555793,MN 014,Gortnawinny Lough,251379.33,328478.27,651319.58,828484.56,54.2026,-7.21258,Water Safety Development Officer,Monaghan County Council,2025/01/09,14
-788764.270769911,7185682.45728471,MN 015,Hamilton River - Dromore River,259839,315150,659777.32,815159.1,54.0819,-7.08559,Water Safety Development Officer,Monaghan County Council,2025/01/09,15
-788838.854828743,7185663.48115089,MN 016,Hamilton River - Dromore River,259795,315134.99,659733.33,815144.1,54.0818,-7.08626,Water Safety Development Officer,Monaghan County Council,2025/01/09,16
-791616.276124035,7195081.26205646,MN 017,Annaghmakerig Lough,258093,320639.99,658031.73,820647.93,54.1314,-7.11121,Water Safety Development Officer,Monaghan County Council,2025/01/09,17
-790258.178336357,7194701.29475867,MN 018,Annaghmakerig Lough,258893,320417,658831.56,820424.97,54.1294,-7.09901,Water Safety Development Officer,Monaghan County Council,2025/01/09,18
-794838.9753825,7190162.1041531,MN 019,Drum Lough,256236,317731,656175.11,817739.57,54.1055,-7.14016,Water Safety Development Officer,Monaghan County Council,2025/01/09,19
-748527.840822683,7192991.66886837,MN 020,Lough Muckno,283414,319793,683347.33,819800.96,54.1204,-6.72414,Water Safety Development Officer,Monaghan County Council,2025/01/09,20
-748428.766475877,7192991.66886837,MN 021,Lough Muckno,283472,319799,683405.32,819806.96,54.1204,-6.72325,Water Safety Development Officer,Monaghan County Council,2025/01/09,21
-749475.169689333,7171330.58723723,MN 022,Creevy Lough,283085,307084,683018.29,807094.7,54.0062,-6.73265,Water Safety Development Officer,Monaghan County Council,2025/01/09,22
-749517.471095835,7171235.87968503,MN 023,Creevy Lough,283061,307018,682994.29,807028.72,54.0057,-6.73303,Water Safety Development Officer,Monaghan County Council,2025/01/09,23
-762131.082597621,7164552.4001974,MN 024,Greaghlone Lough,275697,302964.99,675631.82,802976.63,53.9704,-6.84634,Water Safety Development Officer,Monaghan County Council,2025/01/09,24
-762546.304298279,7163662.95897848,MN 025,Greaghlone Lough,275460.52,302437.24,675395.39,802449,53.9657,-6.85007,Water Safety Development Officer,Monaghan County Council,2025/01/09,25
-772273.401403796,7233820.12843055,MN 026,Emy Lough,269109.53,343429.95,669046.13,843432.92,54.3348,-6.93745,Water Safety Development Officer,Monaghan County Council,2025/01/09,26
